Name;Price;CPrice;Number;Type;Restriction,PicUrl
Gamma Case;$0.03;$0.02;1395928;Base Grade Container;7;https://steamcommunity-a.akamaihd.net/economy/image/
Spectrum Case;$0.03;$0.02;2025397;Base Grade Container;7;https://steamcommunity-a.akamaihd.net/economy/image/
Spectrum 2 Case;$0.03;$0.02;1172233;Base Grade Container;7;https://steamcommunity-a.akamaihd.net/economy/image/
Gamma 2 Case;$0.03;$0.02;2750158;Base Grade Container;7;https://steamcommunity-a.akamaihd.net/economy/image/
Chroma 2 Case;$0.03;$0.02;750426;Base Grade Container;7;https://steamcommunity-a.akamaihd.net/economy/image/
Chroma 3 Case;$0.03;$0.02;1328719;Base Grade Container;7;https://steamcommunity-a.akamaihd.net/economy/image/
Sealed Graffiti | Bling (Cash Green);$0.03;$0.02;2766;Base Grade Graffiti;7;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0r-eOF3j2azL7Ky7VEF96Iu8Pdz-M4Gek7bvCFzqYQbktSw0ELqVVpmNJPJ2LP0Y81NYLrz3slhV5R0R5K5wIYAG8jHccPbI3xTQeMcISxW39d5KKgQ5n5InvgYw
Sealed Graffiti | Tilt (Dust Brown);$0.03;$0.02;2041;Base Grade Graffiti;7;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0pO-CI3X5byXdEC3YDlltU7oPMm_c9zrw4uycEzCYR75-ElsHKKUN8mVLaMmAOxI40oIPrzfuwkAzDhgvNMZJfACpx2EfJbQ1xDhPfc1VzSGkvFRZKY8
Sealed Graffiti | Sheriff (Dust Brown);$0.03;$0.02;1650;Base Grade Graffiti;7;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0qeOZI2f_bSXNKR7VHUxvGK1eMGne_TbxtrmQQzzNRet5EgwMK_YN92caOJvabRdp3dEL-2HqwUEqUAYmdYNFfwO02HkGPaks2C0LeJMEnnD1ckr-CbO0
Sealed Graffiti | Popdog (Wire Blue);$0.03;$0.02;1966;Base Grade Graffiti;7;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0se2dGHvwVzvFPSbcUls6SbsPPGjerGKn5LzHRTCcQuh4FQ8CeKFRpzYdNZ-JPxs9gYRa8zb2h0p6WBUnfspUfRq33n0DPaR4niMTcMlQ73n4mMs
Sealed Graffiti | Bling (Dust Brown);$0.03;$0.02;2898;Base Grade Graffiti;7;https://steamcommunity-a.akamaihd.net/economy/image/IzMF03bi9WpSBq-S-ekoE33L-iLqGFHVaU25ZzQNQcXdB2ozio1RrlIWFK3UfvMYB8UsvjiMXojflsZalyxSh31CIyHz2GZ-KuFpPsrTzBG0r-eOF3j2azL7Ky7VEF96Iu8Pdz-M4Gek7bvCFzqYQbktSw0ELqVVpmNJPJ2LP0Y81NYLrz3slhV5R0R5K5wIYAG8jHccPbI3xTQeMcISxW39LsLe0Vo2TKwaZPk
